"match_id","date","time","season","league","phase","venue","team_id","team","opp_id","opp","coach","opp_coach","GF","GA","decision","status","pts"
"20161186084005","2016-03-06","17:00","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","Sebastien Berges","Christophe Augsburger",7,1,"","End",3
"20161186084005","2016-03-06","17:00","2015/2016","SWHL B","Regular Season","away","105074","HC Saint-Imier","104752","CP de Meyrin","Christophe Augsburger","Sebastien Berges",1,7,"","End",0
"20161185078007","2016-02-28","17:50","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions","Marzio Brambilla","Daniela Diaz",1,5,"","End",0
"20161185078007","2016-02-28","17:50","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","Daniela Diaz","Marzio Brambilla",5,1,"","End",3
"20161186084006","2016-02-27","20:15","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","Ernst Meier","Sébastien Berger",7,1,"","End",3
"20161185078006","2016-02-27","19:00","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano","Daniela Diaz","Marzio Brambilla",2,1,"","End",3
"20161186078002","2016-02-27","17:00","2015/2016","SWHL B","Playoffs","home","104297","EHC Bassersdorf Ladies","104907","Brandis Juniors Ladies","Christian Ruth","Mathias Leuenberger",2,3,"","End",0
"20161186084006","2016-02-27","20:15","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","103951","GCK Lions Frauen","Sébastien Berger","Ernst Meier",1,7,"","End",0
"20161185078006","2016-02-27","19:00","2015/2016","SWHL A","Playoffs","away","105642","Ladies Team Lugano","103432","ZSC Lions","Marzio Brambilla","Daniela Diaz",1,2,"","End",0
"20161186078002","2016-02-27","17:00","2015/2016","SWHL B","Playoffs","away","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","Mathias Leuenberger","Christian Ruth",3,2,"","End",3
"20161186078001","2016-02-21","19:30","2015/2016","SWHL B","Playoffs","home","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","Mathias Leuenberger","Christian Ruth",4,0,"","End",3
"20161185078005","2016-02-21","19:15","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions","Marzio Brambilla","Daniela Diaz",4,3,"OT","End",2
"20161186078001","2016-02-21","19:30","2015/2016","SWHL B","Playoffs","away","104297","EHC Bassersdorf Ladies","104907","Brandis Juniors Ladies","Christian Ruth","Mathias Leuenberger",0,4,"","End",0
"20161185078005","2016-02-21","19:15","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","Daniela Diaz","Marzio Brambilla",3,4,"OT","End",1
"20161186084004","2016-02-20","20:33","2015/2016","SWHL B","Regular Season","home","105074","HC Saint-Imier","103951","GCK Lions Frauen","Christophe Augsburger","Angelika Weber",1,7,"","End",0
"20161185078004","2016-02-20","20:15","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano","Daniela Diaz","Marzio Brambilla",3,2,"OT","End",2
"20161185082001","2016-02-20","17:00","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","Yan Gigon","Bruno Allemann",7,2,"","End",3
"20161186084004","2016-02-20","20:33","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","Angelika Weber","Christophe Augsburger",7,1,"","End",3
"20161185078004","2016-02-20","20:15","2015/2016","SWHL A","Playoffs","away","105642","Ladies Team Lugano","103432","ZSC Lions","Marzio Brambilla","Daniela Diaz",2,3,"OT","End",1
"20161185082001","2016-02-20","17:00","2015/2016","SWHL A","Playoffs","away","103589","EV Bomo","105549","Neuchâtel Hockey Academy","Bruno Allemann","Yan Gigon",2,7,"","End",0
"20161186084002","2016-02-14","14:00","2015/2016","SWHL B","Regular Season","home","105074","HC Saint-Imier","104752","CP de Meyrin","Christophe Augsburger","Sébastien Berger",0,7,"","End",0
"20161186084002","2016-02-14","14:00","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","Sébastien Berger","Christophe Augsburger",7,0,"","End",3
"20161186084003","2016-02-06","20:15","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","103951","GCK Lions Frauen","Sebastien Berges","Ernst Meier",3,3,"","Paused",0
"20161185077006","2016-02-06","20:00","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","Marzio Brambilla","Yan Gigon",7,6,"OT","End",2
"20161185077005","2016-02-06","19:00","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo","Daniela Diaz","Bruno Allemann",5,0,"","End",3
"20161185078003","2016-02-06","17:00","2015/2016","SWHL A","Playout","home","103639","SC Reinach","105752","Thurgau Indien Ladies","Bernhard Bachmann","Daniel Zbinden",4,2,"","End",3
"20161186084003","2016-02-06","20:15","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","104752","CP de Meyrin","Ernst Meier","Sebastien Berges",3,3,"","Paused",0
"20161185077006","2016-02-06","20:00","2015/2016","SWHL A","Playoffs","away","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","Yan Gigon","Marzio Brambilla",6,7,"OT","End",1
"20161185077005","2016-02-06","19:00","2015/2016","SWHL A","Playoffs","away","103589","EV Bomo","103432","ZSC Lions","Bruno Allemann","Daniela Diaz",0,5,"","End",0
"20161185078003","2016-02-06","17:00","2015/2016","SWHL A","Playout","away","105752","Thurgau Indien Ladies","103639","SC Reinach","Daniel Zbinden","Bernhard Bachmann",2,4,"","End",0
"20161185077004","2016-01-31","17:30","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","Yan Gigon","Marzio Brambilla",1,2,"","End",0
"20161185077003","2016-01-31","15:45","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo","Daniela Diaz","Bruno Allemann",6,3,"","End",3
