"match_id","date","season","league","phase","venue","team_id","team","opp_id","opp","period","time","sit","sit_d","G","A1","A2","EN","PS","GWG","home_gf","home_ga","gk_id","gk_opp_id"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","P1",528,"EQ","EQ","323372","308959",NA,0,0,0,1,0,"323382","306309"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","away","105074","HC Saint-Imier","104752","CP de Meyrin","P1",548,"EQ","EQ","142241","326128",NA,0,0,0,1,1,"306309","323382"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","P1",883,"EQ","EQ","300505","323294",NA,0,0,1,2,1,"323382","306309"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","P1",1181,"EQ","EQ","302374","323372","308959",0,0,0,3,1,"323382","306309"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","P2",2097,"EQ","EQ","323372","308959",NA,0,0,0,4,1,"323382","306309"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","P2",2396,"EQ","EQ","323372","302374",NA,0,0,0,5,1,"323382","306309"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","P3",2637,"EQ","EQ","308959",NA,NA,0,0,0,6,1,"323382","306309"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier","P3",2677,"EQ","EQ","312594",NA,NA,0,0,0,7,1,"323382","306309"
"20161185078007","2016-02-28","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P2",1277,"PP","PP1","115923","312552",NA,0,0,0,0,1,"325074","146109"
"20161185078007","2016-02-28","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P2",1742,"EQ","EQ","136105","115923","117284",0,0,1,0,2,"325074","146109"
"20161185078007","2016-02-28","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P2",1932,"EQ","EQ","115923","300694",NA,0,0,0,0,3,"325074","146109"
"20161185078007","2016-02-28","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions","P2",2163,"PP","PP1","131550",NA,NA,0,0,0,1,3,"146109","325074"
"20161185078007","2016-02-28","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P3",2959,"EQ","EQ","153974","115923",NA,0,0,0,1,4,"325074","146109"
"20161185078007","2016-02-28","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P3",3447,"EQ","EQ","117284",NA,NA,0,0,0,1,5,"325074","146109"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","103951","GCK Lions Frauen","P2",1226,"EQ","EQ","308959","302374",NA,0,0,0,0,1,"323382","308192"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","P2",1722,"EQ","EQ","304371",NA,NA,0,0,0,1,1,"308192","323382"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","P2",1790,"EQ","EQ","325070","304371","159762",0,0,1,2,1,"308192","323382"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","P2",2022,"EQ","EQ","133837","304371","325070",0,0,0,3,1,"308192","323382"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","P2",2307,"EQ","EQ","325070",NA,NA,0,0,0,4,1,"308192","323382"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","P3",3037,"EQ","EQ","159762","326511",NA,0,0,0,5,1,"308192","323382"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","P3",3430,"EQ","EQ","133837","304371",NA,0,0,0,6,1,"308192","323382"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin","P3",3448,"EQ","EQ","304371","133837","159762",0,0,0,7,1,"308192","323382"
"20161185078006","2016-02-27","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano","P1",324,"PP","PP1","115923","312552",NA,0,0,0,1,0,"325074","146109"
"20161185078006","2016-02-27","2015/2016","SWHL A","Playoffs","away","105642","Ladies Team Lugano","103432","ZSC Lions","P1",649,"PP","PP1","153748","147563",NA,0,0,0,1,1,"146109","325074"
"20161185078006","2016-02-27","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano","P2",1221,"EQ","EQ","153974","140921",NA,0,0,1,2,1,"325074","146109"
"20161186078002","2016-02-27","2015/2016","SWHL B","Playoffs","away","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","P1",510,"EQ","EQ","147020","140175",NA,0,0,0,0,1,"312596","305781"
"20161186078002","2016-02-27","2015/2016","SWHL B","Playoffs","home","104297","EHC Bassersdorf Ladies","104907","Brandis Juniors Ladies","P2",1665,"PP","PP2","135572","154628",NA,0,0,0,1,1,"305781","302576"
"20161186078002","2016-02-27","2015/2016","SWHL B","Playoffs","home","104297","EHC Bassersdorf Ladies","104907","Brandis Juniors Ladies","P3",2694,"EQ","EQ","155404","148884",NA,0,0,0,2,1,"305781","302576"
"20161186078002","2016-02-27","2015/2016","SWHL B","Playoffs","away","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","P3",3479,"EQ","EQ","147020","152563",NA,0,0,0,2,2,"302576","305781"
"20161186078002","2016-02-27","2015/2016","SWHL B","Playoffs","away","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","P3",3588,"EQ","EQ","318014","152563",NA,0,0,1,2,3,"302576","305781"
"20161186078001","2016-02-21","2015/2016","SWHL B","Playoffs","home","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","P1",831,"EQ","EQ","160519","152563",NA,0,0,1,1,0,"312596","305781"
"20161186078001","2016-02-21","2015/2016","SWHL B","Playoffs","home","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","P2",1306,"EQ","EQ","314829",NA,NA,0,0,0,2,0,"312596","305781"
"20161186078001","2016-02-21","2015/2016","SWHL B","Playoffs","home","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","P2",1686,"EQ","EQ","152563","160519","147020",0,0,0,3,0,"312596","305781"
"20161186078001","2016-02-21","2015/2016","SWHL B","Playoffs","home","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies","P2",1805,"EQ","EQ","314829","102564",NA,0,0,0,4,0,"312596","305781"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions","P1",768,"EQ","EQ","153748","302733",NA,0,0,0,1,0,"306847","325074"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P1",1041,"EQ","EQ","312552","153974","115923",0,0,0,1,1,"325074","306847"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P2",2262,"EQ","EQ","115923","304025","145207",0,0,0,1,2,"325074","306847"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","away","103432","ZSC Lions","105642","Ladies Team Lugano","P2",2288,"EQ","EQ","145207","115923","304025",0,0,0,1,3,"325074","306847"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions","P3",2606,"EQ","EQ","153748","154880",NA,0,0,0,2,3,"306847","325074"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions","P3",3464,"EQ","EQ","153748","325598","301706",0,0,0,3,3,"306847","325074"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions","OT1",4051,"EQ","EQ","301706","147563",NA,0,0,1,4,3,"306847","325074"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","P1",206,"EQ","EQ","133837","307743",NA,0,0,0,0,1,"308192","311860"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","P1",507,"EQ","EQ","133837","325070","305470",0,0,1,0,2,"308192","311860"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","P1",713,"EQ","EQ","304371","325070",NA,0,0,0,0,3,"308192","311860"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","P1",1157,"EQ","EQ","304371","305470",NA,0,0,0,0,4,"308192","311860"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","P2",2311,"EQ","EQ","304371","305470",NA,0,0,0,0,5,"308192","311860"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","home","105074","HC Saint-Imier","103951","GCK Lions Frauen","P2",2330,"EQ","EQ","315147","306312",NA,0,0,0,1,5,"311860","308192"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","P3",2899,"EQ","EQ","307743","325070",NA,0,0,0,1,6,"316205","311860"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","105074","HC Saint-Imier","P3",3350,"SH","SH1","133837","321080",NA,0,0,0,1,7,"316205","311860"
"20161185078004","2016-02-20","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano","P1",406,"EQ","EQ","153974","140921",NA,0,0,0,1,0,"325074","306847"
"20161185078004","2016-02-20","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano","P1",820,"EQ","EQ","115923","145207","153974",0,0,0,2,0,"325074","306847"
"20161185078004","2016-02-20","2015/2016","SWHL A","Playoffs","away","105642","Ladies Team Lugano","103432","ZSC Lions","P2",1243,"EQ","EQ","147563","147913",NA,0,0,0,2,1,"306847","325074"
"20161185078004","2016-02-20","2015/2016","SWHL A","Playoffs","away","105642","Ladies Team Lugano","103432","ZSC Lions","P2",2196,"EQ","EQ","153748","154880",NA,0,0,0,2,2,"306847","325074"
"20161185078004","2016-02-20","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano","OT1",4358,"EQ","EQ","153974","115923",NA,0,0,1,3,2,"325074","306847"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","P1",452,"EQ","EQ","325362","304941",NA,0,0,0,1,0,"302989","306752"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","away","103589","EV Bomo","105549","Neuchâtel Hockey Academy","P1",983,"EQ","EQ","305950","325373",NA,0,0,0,1,1,"306752","302989"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","P1",1175,"EQ","EQ","153944","137267",NA,0,0,0,2,1,"302989","306752"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","P2",1415,"PP","PP1","301701","325072",NA,0,0,1,3,1,"302989","306752"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","P2",1489,"EQ","EQ","325362",NA,NA,0,0,0,4,1,"302989","306752"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","P2",1987,"EQ","EQ","137267","304941",NA,0,0,0,5,1,"302989","306752"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","away","103589","EV Bomo","105549","Neuchâtel Hockey Academy","P2",2395,"EQ","EQ","134662","325374","306914",0,0,0,5,2,"306752","302989"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","P3",2898,"PP","PP1","137267","325075",NA,0,0,0,6,2,"302989","306752"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo","P3",3319,"EQ","EQ","304941",NA,NA,0,0,0,7,2,"302989","306752"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","P1",824,"PP","PP1","323900",NA,NA,0,0,1,0,1,"323382","311860"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","P1",1118,"EQ","EQ","323900",NA,NA,0,0,0,0,2,"323382","311860"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","P2",1756,"EQ","EQ","323900","300505",NA,0,0,0,0,3,"323382","311860"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","P2",2019,"EQ","EQ","302374","323900",NA,0,0,0,0,4,"323382","311860"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","P3",2569,"EQ","EQ","323900","322894",NA,0,0,0,0,5,"323382","311860"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","P3",2813,"PP","PP2","323372","303485",NA,0,0,0,0,6,"323382","311860"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","away","104752","CP de Meyrin","105074","HC Saint-Imier","P3",3538,"PP","PP1","323900","300505","322894",0,0,0,0,7,"323382","311860"
"20161186084003","2016-02-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","103951","GCK Lions Frauen","P1",309,"PP","PP2","300507","302373","323900",0,0,0,1,0,"323382","316205"
"20161186084003","2016-02-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","103951","GCK Lions Frauen","P1",372,"PP","PP1","302374","300504","323372",0,0,0,2,0,"323382","316205"
"20161186084003","2016-02-06","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","104752","CP de Meyrin","P1",561,"PP","PP1","325070","156545",NA,0,0,0,2,1,"316205","323382"
"20161186084003","2016-02-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","103951","GCK Lions Frauen","P1",637,"PP","PP1","312594","323900",NA,0,0,0,3,1,"323382","316205"
"20161186084003","2016-02-06","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","104752","CP de Meyrin","P1",1177,"EQ","EQ","325070",NA,NA,0,0,0,3,2,"316205","323382"
"20161186084003","2016-02-06","2015/2016","SWHL B","Regular Season","away","103951","GCK Lions Frauen","104752","CP de Meyrin","P2",1430,"PP","PP1","325070","156545","133837",0,0,0,3,3,"316205","323382"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","away","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","P1",615,"PP","PP1","137267","325075",NA,0,0,0,0,1,"302989","306847"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","away","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","P1",1012,"EQ","EQ","137267","325075",NA,0,0,0,0,2,"302989","306847"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","P2",1409,"EQ","EQ","154880","153748",NA,0,0,0,1,2,"306847","302989"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","away","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","P2",1564,"EQ","EQ","325075","137267",NA,0,0,0,1,3,"302989","306847"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","P2",1861,"EQ","EQ","153748","309371",NA,0,0,0,2,3,"306847","302989"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","P2",2043,"EQ","EQ","153748","302733",NA,0,0,0,3,3,"306847","302989"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","P3",2476,"PP","PP1","153748","309371","154880",0,0,0,4,3,"306847","302989"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","away","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","P3",2851,"EQ","EQ","314430","325072",NA,0,0,0,4,4,"302989","306847"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","P3",2927,"EQ","EQ","301706","158814",NA,0,0,0,5,4,"306847","302989"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","P3",3175,"EQ","EQ","301706","147563",NA,0,0,0,6,4,"306847","302989"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","away","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","P3",3264,"EQ","EQ","149397","137267",NA,0,0,0,6,5,"302989","306847"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","away","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano","P3",3332,"EQ","EQ","325362","149397","137267",0,0,0,6,6,"302989","306847"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy","OT1",4197,"EQ","EQ","154880","153748",NA,0,0,1,7,6,"306847","302989"
"20161185077005","2016-02-06","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo","P2",1540,"EQ","EQ","141873","312552",NA,0,0,1,1,0,"325074","306752"
"20161185077005","2016-02-06","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo","P3",2779,"EQ","EQ","141873","115923",NA,0,0,0,2,0,"325074","306752"
"20161185077005","2016-02-06","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo","P3",2949,"EQ","EQ","308905","141873",NA,0,0,0,3,0,"325074","306752"
"20161185077005","2016-02-06","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo","P3",3280,"PP","PP1","145207","115923",NA,0,0,0,4,0,"325074","306752"
"20161185077005","2016-02-06","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo","P3",3392,"EQ","EQ","312552",NA,NA,0,0,0,5,0,"325074","306752"
"20161185078003","2016-02-06","2015/2016","SWHL A","Playout","home","103639","SC Reinach","105752","Thurgau Indien Ladies","P1",229,"EQ","EQ","316041","308383",NA,0,0,0,1,0,"305528","305166"
"20161185078003","2016-02-06","2015/2016","SWHL A","Playout","home","103639","SC Reinach","105752","Thurgau Indien Ladies","P1",613,"EQ","EQ","143711",NA,NA,0,0,0,2,0,"305528","305166"
"20161185078003","2016-02-06","2015/2016","SWHL A","Playout","away","105752","Thurgau Indien Ladies","103639","SC Reinach","P2",1534,"EQ","EQ","156168","111343",NA,0,0,0,2,1,"305166","305528"
"20161185078003","2016-02-06","2015/2016","SWHL A","Playout","home","103639","SC Reinach","105752","Thurgau Indien Ladies","P2",1576,"EQ","EQ","157220","323102","302062",0,0,1,3,1,"305528","305166"
"20161185078003","2016-02-06","2015/2016","SWHL A","Playout","away","105752","Thurgau Indien Ladies","103639","SC Reinach","P2",2286,"EQ","EQ","156168",NA,NA,0,0,0,3,2,"305166","305528"
"20161185078003","2016-02-06","2015/2016","SWHL A","Playout","home","103639","SC Reinach","105752","Thurgau Indien Ladies","P3",2519,"EQ","EQ","311062","310595",NA,0,0,0,4,2,"305528","305166"
