"match_id","date","season","league","phase","venue","team_id","team","opp_id","opp","TOT","EQT","PPT","PKT","PP OP","PPG","PP GA","PK SI","PK GA","SHG"
"20161186084005","2016-03-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105074","HC Saint-Imier",3600,3120,360,120,"3","0","0","1","0","0"
"20161185078007","2016-02-28","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions",3600,2966,490,144,"6","1","0","2","1","0"
"20161186084006","2016-02-27","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin",3600,3172,308,120,"3","0","0","1","0","0"
"20161185078006","2016-02-27","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano",3600,2636,262,702,"3","1","0","8","1","0"
"20161186078002","2016-02-27","2015/2016","SWHL B","Playoffs","home","104297","EHC Bassersdorf Ladies","104907","Brandis Juniors Ladies",3600,2654,586,360,"6","1","0","3","0","0"
"20161186078001","2016-02-21","2015/2016","SWHL B","Playoffs","home","104907","Brandis Ladies","104297","EHC Bassersdorf Ladies",3600,3220,240,140,"2","0","0","2","0","0"
"20161185078005","2016-02-21","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","103432","ZSC Lions",4051,3571,120,360,"1","0","0","3","0","0"
"20161186084004","2016-02-20","2015/2016","SWHL B","Regular Season","home","105074","HC Saint-Imier","103951","GCK Lions Frauen",3600,3120,240,240,"2","0","1","2","0","0"
"20161185078004","2016-02-20","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","105642","Ladies Team Lugano",4358,3750,364,244,"4","0","0","3","0","0"
"20161185082001","2016-02-20","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo",3600,2819,248,533,"3","2","0","5","0","0"
"20161186084002","2016-02-14","2015/2016","SWHL B","Regular Season","home","105074","HC Saint-Imier","104752","CP de Meyrin",3600,2943,0,657,"0","0","0","9","3","0"
"20161186084003","2016-02-06","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","103951","GCK Lions Frauen",2400,1435,463,502,"7","3","0","6","2","0"
"20161185077006","2016-02-06","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy",4197,3413,169,615,"2","1","0","6","1","0"
"20161185077005","2016-02-06","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo",3600,3068,292,240,"3","1","0","2","0","0"
"20161185078003","2016-02-06","2015/2016","SWHL A","Playout","home","103639","SC Reinach","105752","Thurgau Indien Ladies",3600,3120,240,240,"2","0","0","2","0","0"
"20161185077004","2016-01-31","2015/2016","SWHL A","Playoffs","home","105549","Neuchâtel Hockey Academy","105642","Ladies Team Lugano",3600,3000,360,240,"3","0","0","2","0","0"
"20161185077003","2016-01-31","2015/2016","SWHL A","Playoffs","home","103432","ZSC Lions","103589","EV Bomo",3600,2493,653,454,"6","1","0","5","2","0"
"20161186077004","2016-01-31","2015/2016","SWHL B","Playoffs","home","103947","Fribourg Ladies Hockey-Club","104297","EHC Bassersdorf Ladies",3600,2684,660,256,"5","0","0","3","1","0"
"20161185078002","2016-01-31","2015/2016","SWHL A","Playout","home","105752","Thurgau Indien Ladies","103639","SC Reinach",3935,3213,312,410,"4","1","0","5","2","0"
"20161186077003","2016-01-31","2015/2016","SWHL B","Playoffs","home","105512","EHC Zunzgen-Sissach","104907","Brandis Juniors Ladies",3600,2507,364,729,"5","0","0","8","2","0"
"20161185077002","2016-01-30","2015/2016","SWHL A","Playoffs","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy",3600,3120,360,120,"3","0","0","1","0","0"
"20161186077002","2016-01-30","2015/2016","SWHL B","Playoffs","home","104297","EHC Bassersdorf Ladies","103947","Fribourg Ladies Hockey-Club",3600,2669,571,360,"5","0","0","3","0","0"
"20161186077001","2016-01-30","2015/2016","SWHL B","Playoffs","home","104907","Brandis Ladies","105512","EHC Zunzgen-Sissach",3600,2390,376,834,"5","1","0","12","2","2"
"20161186084001","2016-01-30","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","105074","HC Saint-Imier",3600,3149,451,0,"6","2","0","0","0","0"
"20161185078001","2016-01-30","2015/2016","SWHL A","Playout","home","103639","SC Reinach","105752","Thurgau Indien Ladies",3600,3083,157,360,"2","1","0","3","0","0"
"20161185077001","2016-01-30","2015/2016","SWHL A","Playoffs","home","103589","EV Bomo","103432","ZSC Lions",4066,3346,360,360,"3","0","0","3","0","0"
"20161185072024","2016-01-26","2015/2016","SWHL A","Regular Season","home","103639","SC Reinach","103589","EV Bomo",3600,2953,480,167,"4","0","0","2","1","0"
"20161186071055","2016-01-24","2015/2016","SWHL B","Regular Season","home","103947","Fribourg Ladies Hockey-Club","105074","HC Saint-Imier",3600,2818,521,261,"6","1","0","3","0","0"
"20161186071053","2016-01-23","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","104752","CP de Meyrin",3900,3134,263,503,"3","0","1","5","0","0"
"20161185072017","2016-01-20","2015/2016","SWHL A","Regular Season","home","103432","ZSC Lions","103639","SC Reinach",3600,3149,303,148,"4","2","0","4","1","1"
"20161185072030","2016-01-17","2015/2016","SWHL A","Regular Season","home","103589","EV Bomo","105752","Thurgau Indien Ladies",3600,3000,360,240,"3","1","0","2","0","0"
"20161186071049","2016-01-17","2015/2016","SWHL B","Regular Season","home","104907","Brandis Ladies","103947","Fribourg Ladies Hockey-Club",3600,2402,662,536,"8","1","0","6","0","1"
"20161186071050","2016-01-17","2015/2016","SWHL B","Regular Season","home","105074","HC Saint-Imier","104297","EHC Bassersdorf Ladies",3600,2520,275,805,"3","0","0","8","1","1"
"20161185072029","2016-01-17","2015/2016","SWHL A","Regular Season","home","103639","SC Reinach","105642","Ladies Team Lugano",3600,2641,830,129,"10","1","1","2","1","0"
"20161185072028","2016-01-17","2015/2016","SWHL A","Regular Season","home","105549","Neuchâtel Hockey Academy","103432","ZSC Lions",3600,2379,801,420,"7","0","0","4","1","0"
"20161186071052","2016-01-16","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","105512","EHC Zunzgen-Sissach",3600,2520,418,662,"5","0","0","8","0","1"
"20161185072027","2016-01-16","2015/2016","SWHL A","Regular Season","home","103432","ZSC Lions","103589","EV Bomo",3600,3236,120,244,"1","0","0","3","2","1"
"20161185072025","2016-01-16","2015/2016","SWHL A","Regular Season","home","105752","Thurgau Indien Ladies","103639","SC Reinach",3600,2784,360,456,"3","0","0","4","0","1"
"20161185072026","2016-01-16","2015/2016","SWHL A","Regular Season","home","105642","Ladies Team Lugano","105549","Neuchâtel Hockey Academy",3600,3027,285,288,"3","0","0","4","1","1"
"20161185072015","2016-01-10","2015/2016","SWHL A","Regular Season","home","103432","ZSC Lions","105549","Neuchâtel Hockey Academy",3600,2848,360,392,"5","1","0","4","0","1"
"20161185072014","2016-01-10","2015/2016","SWHL A","Regular Season","home","105642","Ladies Team Lugano","103639","SC Reinach",3600,3417,63,120,"1","1","0","1","0","0"
"20161186071048","2016-01-10","2015/2016","SWHL B","Regular Season","home","103947","Fribourg Ladies Hockey-Club","105512","EHC Zunzgen-Sissach",3600,2538,401,661,"5","2","0","8","0","0"
"20161185072022","2016-01-09","2015/2016","SWHL A","Regular Season","home","103432","ZSC Lions","105642","Ladies Team Lugano",3600,3000,240,360,"2","0","0","3","0","0"
"20161186071047","2016-01-09","2015/2016","SWHL B","Regular Season","home","104297","EHC Bassersdorf Ladies","104907","Brandis Juniors Ladies",3614,3165,449,0,"4","0","1","0","0","0"
"20161186071046","2016-01-09","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","105074","HC Saint-Imier",3600,3214,193,193,"3","0","0","3","0","0"
"20161185072023","2016-01-09","2015/2016","SWHL A","Regular Season","home","105549","Neuchâtel Hockey Academy","105752","Thurgau Indien Ladies",3600,3360,0,240,"0","0","0","1","0","0"
"20161186071056","2016-01-03","2015/2016","SWHL B","Regular Season","home","104907","Brandis Ladies","105512","EHC Zunzgen-Sissach",3600,2749,360,491,"3","0","0","5","1","0"
"20161186071042","2015-12-12","2015/2016","SWHL B","Regular Season","home","105074","HC Saint-Imier","104752","CP de Meyrin",3600,2390,677,533,"9","0","0","6","2","0"
"20161185072021","2015-12-12","2015/2016","SWHL A","Regular Season","home","103589","EV Bomo","105642","Ladies Team Lugano",3900,2897,720,283,"6","0","0","3","1","0"
"20161185072020","2015-12-12","2015/2016","SWHL A","Regular Season","home","105549","Neuchâtel Hockey Academy","103639","SC Reinach",3600,2949,445,206,"6","1","0","3","0","0"
"20161186071043","2015-12-12","2015/2016","SWHL B","Regular Season","home","103947","Fribourg Ladies Hockey-Club","104297","EHC Bassersdorf Ladies",3600,2577,461,562,"5","0","0","6","1","0"
"20161186071041","2015-12-12","2015/2016","SWHL B","Regular Season","home","104907","Brandis Ladies","103951","GCK Lions Frauen",3600,2851,241,508,"3","1","0","5","0","0"
"20161185072019","2015-12-09","2015/2016","SWHL A","Regular Season","home","105752","Thurgau Indien Ladies","103432","ZSC Lions",3600,3360,240,0,"2","0","0","0","0","0"
"20161185072018","2015-12-06","2015/2016","SWHL A","Regular Season","home","105549","Neuchâtel Hockey Academy","103589","EV Bomo",3600,2895,333,372,"4","2","0","6","1","0"
"20161185072016","2015-12-06","2015/2016","SWHL A","Regular Season","home","105642","Ladies Team Lugano","105752","Thurgau Indien Ladies",3600,2862,120,618,"1","0","0","6","0","1"
"20161186071040","2015-12-05","2015/2016","SWHL B","Regular Season","home","104297","EHC Bassersdorf Ladies","105512","EHC Zunzgen-Sissach",3600,3223,377,0,"6","2","0","0","0","0"
"20161186071039","2015-12-05","2015/2016","SWHL B","Regular Season","home","103951","GCK Lions Frauen","103947","Fribourg Ladies Hockey-Club",3600,2725,875,0,"7","0","1","0","0","0"
"20161186071038","2015-12-05","2015/2016","SWHL B","Regular Season","home","104752","CP de Meyrin","104907","Brandis Juniors Ladies",3600,2872,348,380,"6","2","0","5","1","0"
"20161185072013","2015-12-05","2015/2016","SWHL A","Regular Season","home","105752","Thurgau Indien Ladies","103589","EV Bomo",3600,2881,337,382,"3","0","0","4","0","0"
"20161186071036","2015-11-29","2015/2016","SWHL B","Regular Season","home","105512","EHC Zunzgen-Sissach","105074","HC Saint-Imier",3600,2815,460,325,"5","1","0","3","0","0"
"20161185072011","2015-11-29","2015/2016","SWHL A","Regular Season","home","103639","SC Reinach","105752","Thurgau Indien Ladies",3600,2354,240,1006,"3","0","0","10","0","2"
